NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040174000113,48.5,51.5,35.4,64.6,10.0,41725.0,49429.0,46703.0,AZ
040174001629,44.4,55.6,66.7,33.3,6.0,43945.0,48424.0,45438.0,AZ
040174002214,52.6,47.4,26.3,73.7,11.0,44442.0,47310.0,46556.0,AZ
040176000011,34.0,66.0,27.0,73.0,10.0,35078.0,45130.0,42416.0,AZ
040176000116,44.7,55.3,28.9,71.1,10.0,33345.0,46447.0,42655.0,AZ
040176000117,46.4,53.6,32.1,67.9,11.0,34564.0,46749.0,42832.0,AZ
040176001002,32.1,67.9,,92.9,15.0,,47496.0,46571.0,AZ
040176001032,55.6,44.4,29.6,70.4,12.0,33165.0,48610.0,44034.0,AZ
040176001358,57.7,42.3,19.2,80.8,10.0,35295.0,43955.0,42290.0,AZ
040176001487,39.5,60.5,34.2,65.8,9.0,35259.0,45532.0,42017.0,AZ
040176001531,0.0,,0.0,,,,,,AZ
040181000325,70.8,29.2,16.7,83.3,13.0,31609.0,39878.0,38500.0,AZ
040181002544,,83.3,25.0,75.0,8.0,30083.0,42769.0,39598.0,AZ
040187000013,38.9,61.1,22.2,77.8,11.0,37615.0,55017.0,51150.0,AZ
040187000123,27.7,72.3,27.0,73.0,11.0,40692.0,55417.0,51437.0,AZ
040187000125,40.0,60.0,37.1,62.9,9.0,40178.0,53262.0,48402.0,AZ
040187000127,46.7,53.3,40.0,60.0,8.0,38830.0,51341.0,46337.0,AZ
040187000128,54.5,45.5,49.1,50.9,8.0,39195.0,54197.0,46832.0,AZ
040187000129,42.9,57.1,42.9,57.1,10.0,41448.0,53246.0,48190.0,AZ
040187000131,50.0,50.0,28.6,71.4,10.0,40608.0,54800.0,50745.0,AZ
040187000133,30.5,69.5,47.5,52.5,7.0,41107.0,50537.0,46062.0,AZ
