NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
293114002708	75.0	-1.0	50.0	50.0	9	26680	34848	30764
293123002167	87.5	-1.0	25.0	75.0	15	27700	32104	31003
293144002168	43.1	55.6	20.8	79.2	13	33992	42925	41064
293144002171	52.2	47.8	34.8	65.2	9	34025	41084	38629
293144002173	65.0	35.0	30.0	70.0	11	32524	41096	38524
293144002174	38.5	61.5	15.4	84.6	15	31778	43871	42010
293144002175	39.2	59.5	22.8	77.2	14	33187	44057	41580
293144002176	52.9	47.1	29.4	70.6	8	33235	39340	37544
293144002177	41.2	-1.0	-1.0	94.1	14	-1	40998	41297
293144002178	47.1	52.9	17.6	82.4	11	33031	41662	40139
293144002484	37.5	62.5	10.4	89.6	16	33132	43810	42698
293144002485	54.5	45.5	21.2	78.8	13	33746	41949	40209
293146002180	45.0	55.0	35.0	65.0	11	24094	32723	29703
293146002181	66.7	33.3	33.3	66.7	15	23713	32441	29532
293150000559	52.9	47.1	23.5	76.5	14	32447	39282	37674
293150002182	50.0	50.0	29.2	70.8	9	32003	37039	35570
293150002183	66.7	33.3	33.3	66.7	11	31847	36703	35084
293150002184	50.0	50.0	-1.0	80.0	13	-1	37961	36878
293150002185	66.7	33.3	33.3	66.7	11	32403	37100	35534
293150002186	42.4	54.2	22.0	78.0	12	33279	39444	38086
293150002188	80.0	-1.0	40.0	60.0	9	31813	36357	34539
293150002189	25.0	75.0	20.8	79.2	15	32454	39897	38346
293150002377	0.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
293150002756	35.5	64.5	29.0	71.0	13	34436	39624	38118
293153002190	33.3	66.7	30.0	70.0	13	36171	58046	51483
293153002191	38.1	61.9	19.0	81.0	12	35481	51812	48702
293153002192	-1.0	90.0	-1.0	95.0	17	-1	59643	58569
293153002193	34.8	65.2	21.7	78.3	15	36328	56883	52415
293153002194	23.4	76.6	12.8	87.2	13	37596	54989	52768
293153002195	-1.0	88.2	23.5	76.5	11	37797	53931	50135
293153002197	22.4	77.6	19.7	80.3	14	36249	57001	52905
293153002417	33.3	66.7	26.7	73.3	14	36852	59644	53566
293153002486	-1.0	66.7	-1.0	66.7	10	-1	55307	49542
293153002651	-1.0	-1.0	0.0	100.0	31	-2	60610	60610
293156002198	78.6	21.4	42.9	57.1	11	28525	35150	32311
293156002199	58.3	41.7	50.0	50.0	9	28743	35867	32305
293159001565	40.0	60.0	-1.0	90.0	20	-1	43999	43022
293159002201	82.4	17.6	29.4	70.6	16	33239	41077	38772
293159002202	85.7	-1.0	57.1	42.9	7	33693	37721	35419
293159002203	42.9	57.1	35.7	64.3	15	34361	41483	38939
293162002204	60.0	40.0	26.7	73.3	12	25170	31531	29835
293162002206	66.7	33.3	22.2	77.8	12	25474	31309	30012
293165001036	47.3	52.7	41.8	58.2	8	32905	45356	40150
293165002110	31.4	68.6	42.9	57.1	10	33206	51443	43627
293165002207	53.4	46.6	58.9	41.1	6	33003	43944	37499
293165002208	33.8	66.2	31.2	68.8	12	32826	48531	43636
293165002209	50.0	50.0	38.3	61.7	10	31518	45921	40400
293165002456	55.2	44.8	44.8	55.2	8	32370	43266	38382
293165002652	49.3	50.7	47.8	52.2	8	32425	43181	38044
293165002844	49.2	50.8	43.1	56.9	8	32562	44228	39203
293165002845	62.7	37.3	43.1	56.9	9	32153	45514	39751
293168002213	36.7	63.3	20.0	80.0	16	29640	45471	42305
293168002215	44.2	55.8	17.3	82.7	15	29478	42664	40382
293168002216	38.9	16.7	33.3	66.7	9	29250	37473	34732
293168002217	55.6	44.4	55.6	44.4	9	28305	42954	34816
293168002543	47.7	52.3	22.7	77.3	15	28513	44444	40823
293171002218	58.6	41.4	10.3	89.7	17	30430	36358	35745
293171002220	63.6	36.4	27.3	72.7	16	29543	37881	35607
