NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
080306000247	22.2	77.8	37.0	63.0	12	35246	53140	46513
080306000248	31.6	68.4	15.8	84.2	16	32637	53032	49812
080306000249	66.7	33.3	66.7	33.3	6	36972	44979	39641
080306000251	38.9	61.1	16.7	83.3	15	39052	51455	49388
080306000252	52.8	47.2	44.4	55.6	11	36520	50452	44260
080306000253	58.3	41.7	58.3	41.7	9	37281	52053	43436
080306000254	54.2	45.8	51.8	48.2	8	38565	47438	42841
080306000255	57.6	42.4	33.3	66.7	13	37571	51525	46874
080306000256	53.8	46.2	35.9	64.1	10	35493	48153	43608
080306000257	44.7	55.3	38.8	61.2	10	38514	49926	45494
080306000258	40.0	60.0	48.0	52.0	11	39801	50443	45335
080306000259	30.0	70.0	50.0	50.0	11	51027	50000	50514
080306000260	57.9	42.1	68.4	31.6	8	34348	54662	40763
080306000262	76.3	23.7	39.5	60.5	8	31054	41054	37107
080306000263	53.3	46.7	48.9	51.1	10	36282	51392	44005
080306000265	30.8	69.2	23.1	76.9	12	43329	50642	48954
080306000266	27.8	72.2	44.4	55.6	12	41345	53578	48142
080306000267	50.0	50.0	28.6	71.4	17	31985	56811	49718
080306000268	52.0	48.0	43.9	56.1	10	37190	50265	44528
080306000269	33.3	66.7	-1.0	88.9	16	-1	48592	47366
080306000270	46.8	53.2	29.8	70.2	12	35746	49783	45602
080306000271	44.0	53.6	33.3	66.7	10	38212	49636	45828
080306000272	56.7	43.3	66.7	33.3	7	38896	51540	43111
080306000273	70.0	30.0	50.0	50.0	7	33740	46665	40203
080306000274	38.5	61.5	46.2	53.8	9	35980	51005	44070
080306000275	23.5	76.5	29.4	70.6	11	38839	51523	47792
080306001274	41.4	58.6	44.8	55.2	11	35325	53686	45455
080306001299	84.6	-1.0	30.8	69.2	10	26250	33287	31122
080306001318	93.8	-1.0	56.3	43.8	5	24989	26286	25556
080306001379	46.2	53.8	30.8	69.2	13	35551	50748	46072
080306001435	37.5	62.5	12.5	87.5	13	33065	51577	49263
080306001470	42.4	57.6	21.2	78.8	15	38014	50669	47984
080306001589	27.3	72.7	45.5	54.5	11	32974	38454	35963
080306001641	48.6	51.4	40.5	59.5	9	40016	48636	45141
080306001642	66.7	33.3	27.8	72.2	12	33997	46791	43237
080306001683	39.6	60.4	39.6	60.4	10	36644	51776	45786
080306001841	40.0	60.0	63.6	36.4	6	28286	31250	29364
080306001888	27.3	72.7	36.4	63.6	11	41084	55051	49972
080306001904	80.0	-1.0	30.0	70.0	8	29167	35171	33370
080309000832	57.1	42.9	-1.0	71.4	14	-1	39472	36670
080309000833	62.7	37.3	35.3	64.7	13	29195	38875	35459
080309000834	-1.0	60.0	-1.0	80.0	9	-1	35645	34303
080309000835	23.8	76.2	-1.0	90.5	19	-1	42165	40906
080309000836	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
080309000837	50.0	50.0	0.0	100.0	16	-2	36279	36279
080309000838	58.3	41.7	20.8	79.2	13	28796	38521	36495
080309000839	60.9	39.1	21.7	78.3	14	28647	38407	36285
080309000840	43.8	56.3	16.7	83.3	16	29225	40603	38706
080309000841	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
080309001093	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
080309001692	87.5	-1.0	37.5	62.5	6	30410	30375	30388
080312000276	55.6	44.4	-1.0	77.8	12	-1	34600	32911
080312000277	63.6	36.4	-1.0	81.8	15	-1	35133	33918
080315000278	55.6	44.4	-1.0	77.8	15	-1	40604	38788
080315000279	50.0	50.0	-1.0	83.3	8	-1	33704	33105
080318000280	75.0	25.0	25.0	75.0	17	27932	39168	36359
080318000281	66.7	33.3	53.3	46.7	9	28193	33208	30533
080321000282	72.7	27.3	-1.0	81.8	15	-1	34439	33823
080321000283	86.7	-1.0	33.3	66.7	15	27950	35750	33150
080321001519	70.0	30.0	30.0	70.0	11	28083	33286	31725
080324000285	44.4	55.6	-1.0	77.8	10	-1	34321	32502
080324000286	55.6	44.4	44.4	55.6	9	28324	32508	30649
080327000287	85.7	0.0	57.1	42.9	8	30900	37428	33698
080327000288	55.6	33.3	-1.0	88.9	13	-1	38991	38009
080330000289	58.3	41.7	50.0	50.0	12	30781	42302	36542
080330000290	30.8	69.2	23.1	76.9	15	31675	38588	36992
080330000291	100.0	0.0	-1.0	66.7	11	-1	34964	33268
080330000292	66.7	33.3	25.0	75.0	10	29645	37162	35283
080333000293	47.8	52.2	-1.0	95.7	12	-1	41307	40875
080333000295	-1.0	88.9	0.0	100.0	22	-2	50479	50479
080333000296	53.1	46.9	43.8	56.3	10	31063	40770	36523
080333000297	57.1	42.9	42.9	57.1	9	32552	39964	36787
080333000298	64.3	35.7	46.4	53.6	7	29941	38860	34719
080333000299	34.8	65.2	21.7	78.3	13	30254	43959	40980
080333000300	46.7	53.3	26.7	73.3	13	31589	44884	41338
080333000301	71.9	28.1	34.4	65.6	11	30352	40265	36857
080333000304	40.0	60.0	25.0	75.0	15	30478	45720	41909
080333001334	84.6	-1.0	38.5	61.5	8	28380	38055	34334
080333001335	29.4	70.6	29.4	70.6	11	33397	43442	40488
080333001337	35.3	64.7	29.4	70.6	12	30991	41559	38451
080333001806	100.0	0.0	0.0	100.0	6	-2	34926	34926
080333001893	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
080333001953	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
080336000305	50.0	50.0	46.3	53.7	11	39676	53549	47130
080336000306	58.6	41.4	46.7	53.3	6	33743	39608	36871
080336000307	26.7	73.3	33.3	66.7	9	37263	51271	46602
080336000309	61.1	38.9	61.1	38.9	7	36258	50995	41989
080336000311	68.0	32.0	50.0	50.0	9	38246	51896	45071
080336000312	50.0	50.0	57.1	42.9	7	37274	47804	41786
080336000313	55.6	44.4	50.0	50.0	9	35847	49957	42902
080336000317	50.0	50.0	33.3	66.7	9	35293	48637	44189
080336000318	37.5	62.5	31.3	68.8	10	38101	52850	48241
080336000319	53.3	46.7	73.3	26.7	3	34434	45380	37353
080336000320	40.0	60.0	36.0	64.0	9	32104	45692	40800
080336000322	28.6	48.6	28.6	71.4	11	38970	52516	48646
080336000323	32.0	68.0	48.0	52.0	11	41039	55045	48322
080336000324	60.7	39.3	28.6	71.4	12	38605	47912	45253
080336000325	70.8	29.2	70.8	29.2	6	35906	49446	39855
080336000327	40.0	60.0	46.7	53.3	11	35249	54570	45554
080336000328	42.9	57.1	38.1	61.9	13	34972	53891	46684
080336000329	43.8	56.3	25.0	75.0	11	38175	53264	49492
080336000330	66.7	33.3	44.4	55.6	9	35007	45646	40917
080336000331	47.4	47.4	36.8	63.2	12	31179	50502	43383
080336000332	58.3	41.7	41.7	58.3	9	42352	47016	45073
080336000334	58.3	41.7	25.0	75.0	9	36411	49349	46115
080336000336	57.1	42.9	39.3	60.7	12	35524	54540	47070
080336000337	50.0	50.0	30.0	70.0	12	34342	49472	44933
080336000338	51.1	48.9	36.2	63.8	11	37979	53979	48192
080336000340	52.0	48.0	32.0	68.0	9	30820	50465	44179
080336000341	46.2	53.8	23.1	76.9	14	36550	54730	50534
080336000345	25.0	75.0	-1.0	95.0	15	-1	56216	55326
080336000346	52.4	47.6	27.3	72.7	10	37276	47592	44778
080336000347	44.4	55.6	55.6	44.4	12	43127	54234	48063
080336000348	55.0	45.0	50.0	50.0	7	40060	48141	44101
080336000349	51.9	48.1	25.9	74.1	12	41696	48536	46763
080336000350	79.3	20.7	82.8	17.2	4	34381	47095	36573
080336000351	63.6	36.4	22.7	77.3	11	34769	50769	47133
080336000352	44.6	54.1	39.2	60.8	11	37606	54492	47875
080336000353	73.9	26.1	60.9	39.1	9	37244	51553	42843
080336000354	69.2	30.8	57.7	42.3	9	34765	54053	42925
080336000355	50.0	50.0	46.9	53.1	9	36874	50575	44153
080336000357	48.0	52.0	40.0	60.0	12	38044	52171	46520
080336000358	52.4	47.6	23.8	76.2	11	38052	45921	44047
080336000359	69.6	30.4	41.7	58.3	10	34901	47196	42073
080336000360	72.7	27.3	45.5	54.5	11	34325	51691	43797
080336000361	45.7	54.3	26.1	73.9	17	37880	54960	50504
080336000362	63.3	36.7	53.3	46.7	8	35925	48821	41943
080336000363	46.8	53.2	36.2	63.8	11	39626	52126	47605
080336000364	44.7	55.3	31.6	68.4	12	40840	53035	49184
080336000365	53.8	46.2	15.4	84.6	17	28032	51372	47781
080336000366	31.8	68.2	13.6	86.4	15	41799	51883	50508
080336000367	47.4	50.0	19.7	80.3	12	36933	50980	48207
080336000368	52.2	47.8	34.8	65.2	10	35885	52359	46629
080336000369	44.4	55.6	33.3	66.7	13	38752	53308	48456
080336000370	56.4	43.6	32.7	67.3	10	34932	49324	44614
080336000371	55.6	44.4	44.4	55.6	10	37317	50143	44443
080336000372	62.5	37.5	18.8	81.3	16	33019	48752	45802
080336000373	41.9	58.1	32.6	67.4	12	38138	53074	48211
080336000374	74.3	25.7	61.1	38.9	6	36012	44754	39412
080336000375	55.6	44.4	33.3	66.7	10	41985	46674	45111
080336000377	50.0	50.0	-1.0	75.0	12	-1	53386	48532
080336000378	63.3	36.7	60.0	40.0	9	36415	52668	42917
080336000379	47.2	52.8	38.9	61.1	13	36006	55812	48110
080336000380	54.5	45.5	30.4	69.6	8	44035	45462	45028
080336000381	60.0	40.0	80.0	20.0	4	36539	46484	38528
080336000383	71.4	28.6	50.0	50.0	9	36715	47082	41899
080336000384	75.0	25.0	50.0	50.0	7	36930	45737	41334
080336000385	75.0	25.0	25.0	75.0	9	33726	45177	42315
080336000386	52.8	47.2	55.6	44.4	9	36052	52705	43453
080336000387	65.4	34.6	66.7	33.3	6	38229	48172	41544
080336000388	53.6	46.4	41.4	58.6	11	34094	51839	44496
080336000389	58.6	39.7	46.6	53.4	9	36181	51601	44423
080336000390	36.8	63.2	21.1	78.9	13	34358	50849	47377
080336000391	47.1	52.9	35.3	64.7	10	39838	50168	46522
080336000392	71.4	28.6	57.1	42.9	9	34342	49448	40816
080336000394	29.6	70.4	28.6	71.4	14	39416	54753	50371
080336000395	50.0	50.0	58.8	41.2	8	36853	53292	43622
080336000396	45.9	54.1	35.1	64.9	11	37626	52830	47488
080336000398	59.4	40.6	40.6	59.4	11	32623	52861	44639
080336000399	65.0	35.0	45.0	55.0	9	35843	49384	43290
080336000400	41.9	54.8	45.2	54.8	8	36118	47827	42539
080336000401	43.5	56.5	30.4	69.6	14	34959	53848	48099
080336000403	57.7	42.3	57.7	42.3	8	36691	52467	43366
080336000405	47.6	52.4	38.1	61.9	10	34469	52264	45485
080336000406	45.2	54.8	25.8	74.2	13	41895	50205	48061
080336000407	68.4	31.6	73.7	26.3	4	35275	31023	34156
080336000408	35.4	64.6	30.8	69.2	12	41207	52675	49146
080336000410	50.0	50.0	28.6	71.4	14	44719	51590	49627
080336000411	53.8	46.2	30.8	69.2	13	37443	50513	46492
080336000412	37.5	62.5	37.5	62.5	9	35486	47663	43097
080336000414	58.3	41.7	37.8	62.2	9	40626	47085	44641
080336000415	50.0	50.0	38.9	61.1	14	35564	51409	45247
080336000417	48.0	52.0	36.0	64.0	11	38358	52114	47161
080336000418	37.5	62.5	20.8	79.2	15	38833	53297	50284
080336000419	35.3	64.7	23.5	76.5	15	37748	53367	49692
080336000420	47.4	52.6	26.3	73.7	18	39190	52018	48642
080336000421	59.1	40.9	40.9	59.1	10	41712	46766	44699
080336000423	45.8	51.4	36.1	63.9	11	38306	53171	47803
080336000424	56.4	43.6	41.0	59.0	10	37012	50965	45241
080336000425	21.4	78.6	20.0	80.0	17	38062	57403	53535
080336000426	38.5	61.5	30.8	69.2	8	37900	48391	45163
080336000428	54.5	45.5	54.5	45.5	9	36463	55642	45181
080336001245	54.5	36.4	68.2	31.8	6	30433	39857	33432
080336001276	72.4	27.6	48.3	51.7	7	37947	46250	42242
080336001338	41.0	57.4	47.6	52.4	9	40709	52179	46717
080336001380	67.7	32.3	35.5	64.5	11	33486	49126	43576
080336001406	63.2	36.8	75.4	24.6	5	35139	51791	39234
080336001521	55.6	44.4	55.6	44.4	7	40654	49009	44367
080336001522	30.4	69.6	60.9	39.1	6	43507	51343	46573
080336001524	40.9	59.1	31.8	68.2	12	37547	50996	46717
080336001574	40.5	59.5	42.9	57.1	9	41593	50781	46843
080336001575	-1.0	71.4	57.1	42.9	8	39300	56747	46777
080336001576	80.0	20.0	73.3	26.7	5	34250	38655	35424
080336001633	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
080336001635	60.0	40.0	35.5	64.5	11	35587	48792	44107
080336001636	33.3	66.7	25.0	75.0	12	25000	39654	35991
080336001637	71.4	28.6	64.3	35.7	5	36850	44630	39629
080336001679	47.8	52.2	34.8	65.2	13	36583	53632	47702
080336001724	71.0	16.1	71.0	29.0	7	37064	43563	38951
080336001738	33.3	66.7	24.2	75.8	13	42614	53892	51158
080336001739	63.0	37.0	55.6	44.4	8	36858	52119	43641
080336001750	52.9	47.1	70.6	29.4	5	41418	46870	43021
080336001763	55.6	33.3	33.3	66.7	8	32707	33435	33192
080336001764	100.0	0.0	100.0	0.0	3	30247	-2	30247
080336001767	46.2	53.8	61.5	38.5	10	39703	49053	43299
080336001768	85.7	14.3	77.3	22.7	4	32291	34820	32866
080336001776	59.0	41.0	35.9	64.1	10	36112	47079	43142
080336001795	63.6	36.4	45.5	54.5	10	38330	50768	45114
080336001833	37.5	62.5	68.8	31.3	7	37053	46000	39849
080336001834	71.4	-1.0	-1.0	85.7	6	-1	33051	33054
080336001835	71.4	23.8	61.9	38.1	8	31155	35893	32960
080336001837	75.0	25.0	75.0	25.0	4	30126	32885	30816
080336001838	65.5	31.0	65.5	34.5	6	35049	43312	37898
080336001839	-1.0	66.7	-1.0	83.3	13	-1	47147	46790
080336001861	25.0	75.0	33.3	66.7	10	40365	50534	47145
080336001862	88.9	-1.0	77.8	-1.0	4	31189	-1	32024
080336001864	71.0	29.0	40.6	59.4	12	35982	49717	44137
080336001865	62.5	37.5	68.8	31.3	5	34221	39201	35778
080336001866	63.6	36.4	36.4	63.6	11	34804	53125	46463
080336001867	47.6	52.4	66.7	33.3	5	36679	49628	40996
080336001868	50.0	50.0	58.3	41.7	8	30105	55487	40681
080336001869	66.7	33.3	81.0	19.0	3	37601	45037	39018
080336001870	73.8	26.2	57.1	42.9	8	34934	48981	40954
080336001894	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
080336001895	55.6	44.4	55.6	44.4	7	33310	50864	41111
080336001954	75.0	-1.0	75.0	-1.0	8	32726	-1	32294
080336001955	-1.0	75.0	0.0	100.0	14	-2	50510	50510
080336001956	-1.0	75.0	37.5	62.5	6	38665	42399	40999
080336001957	50.0	50.0	57.1	42.9	9	33648	51925	41481
080339000430	69.6	30.4	26.1	73.9	13	26812	37195	34487
080339000431	75.0	-1.0	-1.0	75.0	14	-1	38242	35778
080339000432	75.0	-1.0	-1.0	87.5	14	-1	37393	36234
080342000429	60.0	40.0	-1.0	80.0	14	-1	33509	32429
080342000435	-1.0	77.8	-1.0	88.9	14	-1	34199	33355
080342001958	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
080345000044	41.9	58.1	19.4	80.6	16	34182	56059	51825
080345000436	29.7	70.3	21.6	78.4	15	35706	56554	52047
080345000437	58.5	41.5	34.1	65.9	12	35800	51299	46007
080345000438	32.4	67.6	18.3	81.7	14	37667	54168	51146
080345000439	-1.0	-1.0	-1.0	75.0	14	-1	51954	47181
080345000440	40.1	59.9	24.6	75.4	13	37354	53625	49615
080345000441	37.5	62.5	0.0	100.0	15	-2	53059	53059
080345000442	56.5	43.5	30.4	69.6	12	36149	53075	47923
080345000443	39.6	60.4	15.1	84.9	12	37554	51780	49632
080345000444	43.3	56.7	20.0	80.0	9	38127	48716	46598
080345000445	45.7	54.3	22.9	77.1	14	34797	53270	49048
080345000446	46.7	53.3	20.0	80.0	14	37802	52586	49629
080345000447	63.6	36.4	36.4	63.6	9	34471	50692	44794
080345000492	68.8	28.1	40.6	59.4	7	30846	36019	33917
080345000495	-1.0	83.3	0.0	100.0	13	-2	55180	55180
080345000812	76.2	19.0	47.6	52.4	8	32450	35817	34214
080345001250	14.3	85.7	14.3	85.7	12	36816	54604	52063
080345001275	51.6	48.4	25.8	74.2	15	34170	55586	50059
080345001279	15.6	84.4	18.8	81.3	13	42226	53484	51373
080345001288	53.3	46.7	46.7	53.3	10	36941	50414	44127
080345001339	31.0	69.0	17.2	82.8	15	37148	56597	53244
080345001340	39.0	61.0	24.4	75.6	12	36865	51402	47856
080345001341	44.9	55.1	24.5	75.5	14	37875	54839	50685
080345001407	40.7	59.3	11.1	88.9	14	34144	55385	53024
080345001437	26.8	73.2	12.4	87.6	15	36541	55127	52828
080345001475	37.9	62.1	24.1	75.9	11	35238	50596	46889
080345001476	55.2	44.8	27.6	72.4	13	35140	53499	48435
080345001497	62.5	37.5	37.5	62.5	10	36061	49612	44530
080345001526	35.5	64.5	29.0	71.0	10	36838	51283	47089
080345001527	-1.0	-1.0	0.0	100.0	11	-2	46783	46783
080345001528	54.2	45.8	29.2	70.8	12	35124	53483	48129
080345001529	28.6	71.4	22.1	77.9	12	36800	54059	50249
080345001577	57.7	42.3	15.4	84.6	10	37037	47889	46219
080345001578	37.4	62.6	17.8	82.2	12	36783	52696	49871
080345001581	42.1	42.1	57.9	42.1	7	38909	42808	40551
080345001582	48.4	51.6	31.3	68.8	9	35679	50150	45628
080345001583	32.4	67.6	26.5	73.5	11	36937	54951	50183
080345001584	73.9	21.7	52.2	47.8	7	31082	37421	34114
080345001585	48.5	51.5	21.2	78.8	11	35285	50361	47163
080345001638	57.9	42.1	47.4	52.6	9	36171	50347	43632
080345001639	44.0	56.0	28.0	72.0	10	37012	51904	47734
080345001680	44.1	55.9	17.6	82.4	11	38127	49357	47375
080345001736	54.5	45.5	48.5	51.5	7	34341	50828	42834
080345001740	52.0	48.0	32.0	68.0	9	35045	50808	45764
080345001747	42.3	57.7	25.0	75.0	13	37626	53546	49566
080345001748	43.3	56.7	29.9	70.1	10	36448	51915	47291
080345001757	45.2	54.8	41.9	58.1	9	36292	52083	45461
080345001785	37.9	62.1	34.5	65.5	11	35417	53874	47509
080345001809	27.6	72.4	17.2	82.8	11	37280	52238	49659
080345001840	44.4	55.6	25.0	75.0	11	36163	50914	47226
080345001874	36.4	31.8	86.4	13.6	3	34360	37448	34781
080345001875	39.4	60.6	36.4	63.6	10	36203	52288	46439
080345001896	62.5	-1.0	100.0	0.0	2	34625	-2	34625
080345001897	63.2	36.8	47.4	52.6	7	36758	46072	41660
080345001900	41.7	58.3	50.0	50.0	7	36751	51749	44250
080345001959	67.7	32.3	45.2	54.8	7	34992	45074	40521
080345001960	62.5	37.5	62.5	37.5	6	35310	50128	40867
080345001961	34.9	65.1	39.5	60.5	10	38064	52710	46920
080345001962	48.9	51.1	28.9	71.1	10	36241	52486	47793
080345001963	33.3	66.7	45.8	54.2	9	37415	52646	45665
080345003172	57.1	42.9	28.6	71.4	13	33722	56578	50048
080345006152	46.2	53.8	30.8	69.2	14	38487	55418	50208
080345006159	25.0	75.0	25.0	75.0	12	36809	54629	50174
080345006218	38.5	61.5	-1.0	92.3	15	-1	52918	51485
080345006219	47.2	52.8	15.1	84.9	13	33203	54012	50871
080348000448	37.7	61.0	23.4	76.6	13	33618	43937	41525
080348000449	60.0	40.0	20.0	80.0	14	33098	43510	41427
080348000450	44.4	55.6	-1.0	77.8	14	-1	40844	38831
080348000452	33.3	66.7	22.2	77.8	13	33194	43731	41390
080348000453	26.1	73.9	-1.0	95.7	18	-1	46232	45803
080348000454	52.2	47.8	17.4	82.6	16	33133	46860	44473
080348000455	50.0	50.0	13.6	86.4	17	30090	45674	43549
080348000456	36.4	63.6	18.2	81.8	14	34161	46387	44164
080348000457	37.5	62.5	-1.0	75.0	13	-1	45170	43062
080348001066	28.6	71.4	28.6	71.4	16	33334	48741	44339
080348001075	70.0	30.0	70.0	30.0	4	27254	29233	27848
080348006160	75.0	-1.0	-1.0	-1.0	9	-1	-1	34941
080351000458	50.0	50.0	0.0	100.0	18	-2	35175	35175
080351000459	80.0	-1.0	-1.0	80.0	8	-1	30355	29927
080351001277	100.0	0.0	-1.0	-1.0	13	-1	-1	32050
080354000461	56.4	43.6	17.9	82.1	13	35475	46654	44648
080354000462	42.9	57.1	21.4	78.6	15	35044	51384	47883
080354000463	47.5	52.5	25.0	75.0	14	36070	49312	46002
080354000466	54.5	45.5	27.3	72.7	10	37980	46777	44378
080354000468	80.0	20.0	33.3	66.7	11	56240	52246	53578
080354000851	65.2	34.8	34.8	65.2	9	43416	52716	49481
080354001309	56.3	43.8	43.8	56.3	14	36055	53414	45820
080354001478	64.3	35.7	57.1	42.9	8	34624	45844	39433
080354001530	68.0	32.0	20.0	80.0	10	51670	42624	44433
080354001531	61.1	38.9	38.9	61.1	9	34162	46214	41527
080354001721	42.1	57.9	26.3	73.7	12	34069	49644	45545
080354001722	42.9	57.1	14.3	85.7	14	37034	55049	52475
080354001723	55.6	44.4	38.9	61.1	10	37013	51702	45990
080354001756	75.0	-1.0	-1.0	75.0	9	-1	47830	45306
080354006221	63.0	37.0	33.3	66.7	10	47151	45236	45874
080354006222	68.2	31.8	13.6	86.4	16	69890	48324	51265
080360000474	41.7	58.3	-1.0	91.7	16	-1	41000	39974
080360000475	73.1	26.9	42.3	57.7	13	29221	40892	35955
080360000476	50.0	50.0	32.1	67.9	13	30647	41216	37818
080360000477	57.1	42.9	-1.0	71.4	16	-1	39941	37591
080360001986	56.3	43.8	18.8	81.3	16	33698	40183	38967
080363000478	75.0	-1.0	-1.0	75.0	12	-1	34167	33000
080363001278	75.0	-1.0	-1.0	-1.0	13	-1	-1	33125
080369000480	50.0	50.0	0.0	100.0	17	-2	36552	36552
080369000481	87.5	-1.0	37.5	62.5	9	26393	30653	29055
080372000482	58.8	41.2	29.4	70.6	12	33113	41737	39200
080372000483	62.2	37.8	42.2	57.8	9	30047	40337	35992
080372001479	64.3	35.7	25.0	75.0	11	30375	42278	39302
080372001532	55.2	44.8	37.9	62.1	7	30973	39689	36383
080372001586	76.9	23.1	38.5	61.5	10	30002	34553	32803
080372001775	-1.0	-1.0	100.0	0.0	4	31731	-2	31731
080375000484	63.0	33.3	51.9	48.1	9	29164	38505	33662
080375000485	56.3	37.5	50.0	50.0	7	31191	34900	33045
080375001735	73.3	26.7	66.7	33.3	7	28780	37830	31797
080378000486	28.6	71.4	-1.0	85.7	18	-1	59023	55247
080378000487	33.3	66.7	20.8	79.2	15	35218	57434	52806
080378000488	28.6	71.4	21.4	78.6	15	39145	58299	54194
080378000489	35.0	65.0	15.0	85.0	14	35654	54477	51654
080378000491	36.4	63.6	22.7	77.3	15	36693	56247	51803
080378000493	23.5	76.5	-1.0	88.2	17	-1	59801	57808
080378000494	52.2	47.8	34.8	65.2	9	39054	46963	44212
080378000497	33.3	66.7	33.3	66.7	13	36559	53664	47962
080378001310	50.0	50.0	45.5	54.5	10	35485	54157	45670
080378001772	-1.0	-1.0	0.0	-1.0	-1	-2	-1	-1
080381000498	63.9	36.1	11.1	88.9	15	32000	41026	40023
080381000499	35.7	64.3	42.9	57.1	8	32533	41475	37643
080381000500	56.0	44.0	40.0	60.0	12	33488	44698	40214
080384000501	62.5	-1.0	-1.0	75.0	9	-1	28107	27973
080384000502	66.7	33.3	-1.0	86.7	15	-1	36817	35336
080384000503	66.7	-1.0	50.0	50.0	15	28315	37525	32920
080384000622	80.0	-1.0	60.0	-1.0	6	27981	-1	30128
080384001695	-1.0	-1.0	0.0	100.0	11	-2	29447	29447
080387000504	68.4	31.6	31.6	68.4	9	34036	40463	38433
080387000505	76.9	23.1	38.5	61.5	9	33181	39036	36784
080387000506	75.9	24.1	34.5	65.5	11	32729	41722	38621
080387000507	70.0	30.0	40.0	60.0	8	33386	40340	37558
080387001393	51.3	48.7	17.9	82.1	11	35180	41573	40425
080387001438	80.5	19.5	34.1	65.9	10	33080	42423	39233
080387001537	75.0	25.0	33.3	66.7	9	34195	40633	38487
080387001594	59.2	40.8	35.9	64.1	9	35459	42333	39864
080387001686	63.8	36.2	46.8	53.2	8	34742	40222	37657
080387001799	67.9	32.1	35.8	64.2	9	33921	40268	37992
080387001843	69.6	30.4	47.8	52.2	8	35666	38897	37352
080387001898	73.9	26.1	58.7	41.3	6	33418	41002	36550
080387001899	69.7	30.3	45.5	54.5	8	33919	40960	37760
080393000511	87.5	-1.0	37.5	62.5	17	28224	37926	34288
080393000512	83.3	-1.0	66.7	-1.0	6	29242	-1	30813
080396000514	54.3	45.7	20.0	80.0	15	30853	42543	40205
080396000515	57.7	42.3	34.6	65.4	14	30854	44293	39641
080396000516	52.9	47.1	-1.0	88.2	19	-1	43742	42411
080396001595	38.9	61.1	27.8	72.2	12	33455	42456	39956
080396001687	33.3	66.7	-1.0	88.9	22	-1	45993	44580
080399000147	48.1	51.9	22.2	77.8	13	35993	46356	44053
080399000165	46.2	53.8	50.0	50.0	10	36288	49050	42669
080399000517	54.5	45.5	-1.0	90.9	14	-1	46377	45131
080399000519	68.4	31.6	-1.0	89.5	16	-1	47794	46548
080399000520	47.6	52.4	14.3	85.7	16	35867	50453	48369
080399000521	50.0	50.0	26.9	73.1	11	32588	48390	44136
080399000522	40.0	60.0	20.0	80.0	11	36386	46617	44571
080399000523	21.6	78.4	10.8	89.2	16	34129	53755	51633
080399000524	38.5	61.5	30.8	69.2	13	37087	50360	46276
080399000525	42.3	57.7	23.1	76.9	16	34962	49979	46513
080399000526	52.4	47.6	38.1	61.9	10	36925	46379	42778
080399000527	63.6	36.4	33.3	66.7	13	34006	50440	44962
080399000528	44.3	55.7	29.5	70.5	14	35563	51820	47023
080399000533	48.5	51.5	33.3	66.7	11	35581	47121	43275
080399000536	40.0	60.0	25.0	75.0	13	34564	49911	46074
080399000537	0.0	100.0	0.0	100.0	14	-2	49647	49647
080399000538	39.1	60.9	21.7	78.3	13	36144	47602	45111
080399000539	45.0	55.0	20.0	80.0	15	36250	50967	48024
080399000541	50.6	49.4	27.7	72.3	12	35279	48066	44523
080399000542	62.1	37.9	41.4	58.6	10	33283	47832	41811
080399000543	-1.0	-1.0	75.0	-1.0	6	34032	-1	36796
080399000544	57.1	42.9	33.3	66.7	14	34945	48596	44046
080399000545	37.2	62.8	23.1	76.9	13	35985	48524	45630
080399000546	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
080399000547	38.9	61.1	13.9	86.1	15	37330	47708	46267
080399000548	50.0	50.0	16.7	83.3	15	35041	50522	47942
080399000551	52.6	47.4	31.6	68.4	12	36645	46646	43488
080399000573	55.6	44.4	33.3	66.7	8	37366	44457	42093
080399000574	-1.0	85.7	-1.0	71.4	13	-1	49798	46123
080399000583	41.7	58.3	33.3	66.7	16	33075	54391	47286
080399000606	54.2	45.8	12.5	87.5	13	38863	45261	44461
080399001077	-1.0	77.8	-1.0	88.9	17	-1	52308	49868
080399001091	53.5	46.5	25.6	74.4	13	35973	48534	45321
080399001280	50.0	50.0	19.2	80.8	13	35057	50087	47197
080399001408	41.2	58.8	29.4	70.6	13	35613	49885	45687
080399001409	39.1	60.9	-1.0	95.7	19	-1	53110	52123
080399001440	44.4	55.6	18.5	81.5	14	32750	49176	46134
080399001480	57.7	42.3	15.4	84.6	14	34513	49162	46908
080399001498	58.6	41.4	13.8	86.2	14	33974	48360	46376
080399001608	69.0	31.0	41.4	58.6	9	32287	38337	35833
080399001716	60.0	40.0	86.7	-1.0	4	31529	-1	32816
080399001717	64.9	32.4	51.4	48.6	8	29934	31240	30569
080399001727	45.5	54.5	48.5	51.5	9	35027	43241	39258
080399001775	80.0	-1.0	100.0	0.0	2	23350	-2	23350
